1 A.08 40000.000000
2 F.40 32000.000000
3 Z.46 28000.000000
4 M.20 20000.000000
5 B.71 16200.000000
6 A.27 12000.000000
7 C.15 8000.000000
8 A.42 6200.000000
9 A.38 4000.000000
10 B.11 3200.000000
11 Z.23 2400.000000
12 M.34 2200.000000
13 A.92 2000.000000
14 A.55 1600.000000
15 A.20 1500.000000
16 C.88 1200.000000
17 A.84 1060.000000
18 M.17 1000.000000
19 U.04 1000.000000
20 F.63 900.000000
21 A.12 800.000000
22 U.20 750.000000
23 P.41 700.000000
24 Z.18 600.000000
25 Z.98 550.000000
26 E.14 500.000000
27 E.86 430.000000
28 F.38 400.000000
29 Z.10 320.000000
30 E.55 300.000000
31 B.29 260.000000
32 U.70 250.000000
33 Z.60 180.000000
34 A.33 150.000000
